machine_id,drink,timestamp,duration_s,temp_c
2,lungo,2026-07-01 07:30:14,43.7,92.4
2,espresso,2026-07-01 08:03:52,31.8,93.1
2,espresso,2026-07-01 08:24:36,30.4,93.4
2,espresso,2026-07-01 08:28:31,26.4,91.1
2,espresso,2026-07-01 08:29:04,26.6,91.8
2,cappuccino,2026-07-01 09:02:47,53.5,88.9
2,lungo,2026-07-01 09:23:27,35.3,91.8
2,cappuccino,2026-07-01 09:56:58,51.1,90.0
2,hot_water,2026-07-01 10:38:28,11.7,96.8
2,cappuccino,2026-07-01 11:02:03,44.8,89.5
2,espresso,2026-07-01 11:46:24,25.1,90.1
2,americano,2026-07-01 13:08:36,32.3,91.0
2,cappuccino,2026-07-01 13:19:49,45.1,90.7
2,lungo,2026-07-01 13:21:16,44.6,90.9
2,espresso,2026-07-01 14:31:26,27.6,93.5
2,lungo,2026-07-01 15:43:06,35.1,92.2
2,lungo,2026-07-01 15:56:35,39.7,89.4
2,lungo,2026-07-02 07:13:27,39.3,90.8
2,espresso,2026-07-02 08:10:13,29.3,91.8
2,espresso,2026-07-02 08:43:06,29.9,91.5
2,espresso,2026-07-02 09:50:16,28.9,91.0
2,espresso,2026-07-02 11:39:43,25.6,93.8
2,americano,2026-07-02 11:44:40,41.0,88.9
2,cappuccino,2026-07-02 11:50:21,51.6,90.7
2,espresso,2026-07-02 12:22:16,31.0,92.5
2,espresso,2026-07-02 13:00:22,28.9,92.0
2,latte,2026-07-02 13:03:46,45.6,86.7
2,cappuccino,2026-07-02 13:11:19,40.7,86.1
2,espresso,2026-07-02 13:22:26,29.6,91.9
2,lungo,2026-07-02 13:24:51,36.1,91.5
2,americano,2026-07-02 13:39:20,41.4,92.2
2,espresso,2026-07-02 13:40:20,29.9,93.3
2,latte,2026-07-02 14:08:37,52.8,88.3
2,espresso,2026-07-02 15:04:06,25.0,92.9
2,espresso,2026-07-02 15:06:15,25.2,91.5
2,cappuccino,2026-07-03 07:20:22,41.5,90.6
2,americano,2026-07-03 07:32:58,33.1,90.4
2,lungo,2026-07-03 08:25:05,34.0,91.4
2,espresso,2026-07-03 08:28:00,31.7,91.9
2,espresso,2026-07-03 08:28:00,27.0,92.2
2,espresso,2026-07-03 08:51:16,28.5,93.7
2,espresso,2026-07-03 09:14:07,32.0,92.9
2,espresso,2026-07-03 09:42:38,28.6,93.6
2,espresso,2026-07-03 09:46:58,27.4,91.3
2,espresso,2026-07-03 09:48:43,24.5,93.1
2,espresso,2026-07-03 10:39:07,30.6,93.4
2,espresso,2026-07-03 10:45:23,26.4,90.9
2,cappuccino,2026-07-03 14:23:32,46.2,89.6
2,espresso,2026-07-03 14:30:39,27.8,93.8
2,espresso,2026-07-03 15:10:10,29.7,93.4
2,americano,2026-07-03 15:49:10,40.1,92.8
2,latte,2026-07-03 15:49:51,48.4,89.4
