machine_id,drink,timestamp,duration_s,temp_c
3,espresso,2026-04-10 15:00:00,29.4,91.5
3,espresso,2026-04-15 09:45:00,28.4,93.5
3,lungo,2026-04-16 15:30:00,44.7,89.9
3,americano,2026-04-21 11:45:00,33.1,92.3
3,lungo,2026-04-22 15:00:00,35.1,91.6
3,americano,2026-04-23 14:15:00,31.9,89.3
3,americano,2026-04-24 10:30:00,36.7,88.4
3,americano,2026-05-07 09:00:00,39.4,88.1
3,lungo,2026-05-12 14:15:00,40.3,90.6
3,lungo,2026-05-13 14:15:00,41.2,90.8
3,lungo,2026-05-18 15:00:00,40.1,91.5
3,espresso,2026-05-20 09:15:00,30.8,92.7
3,lungo,2026-05-29 11:15:00,44.8,92.8
3,espresso,2026-06-10 10:45:00,31.2,91.9
3,espresso,2026-06-11 09:30:00,27.6,93.7
3,lungo,2026-06-19 10:00:00,34.4,92.2
3,lungo,2026-06-23 09:00:00,41.8,89.2
3,lungo,2026-06-26 09:15:00,41.6,90.9
3,americano,2026-06-29 09:45:00,40.4,91.1
3,espresso,2026-06-30 15:45:00,27.7,90.6
3,americano,2026-07-03 10:15:00,30.7,91.1
