machine_id,drink,timestamp,duration_s,temp_c
1,espresso,2026-07-01 06:44:16,27.7,92.0
1,espresso,2026-07-01 06:46:08,27.4,92.6
1,espresso,2026-07-01 06:47:58,24.2,92.8
1,hot_water,2026-07-01 07:18:19,10.3,95.5
1,espresso,2026-07-01 08:00:47,29.6,91.7
1,cappuccino,2026-07-01 08:25:42,49.7,88.1
1,latte,2026-07-01 08:28:18,46.0,87.4
1,americano,2026-07-01 08:40:26,38.7,89.5
1,americano,2026-07-01 08:47:05,31.7,88.2
1,cappuccino,2026-07-01 08:49:42,44.7,89.3
1,lungo,2026-07-01 08:52:51,42.2,90.2
1,americano,2026-07-01 08:57:11,34.6,90.0
1,latte,2026-07-01 09:07:36,60.7,87.9
1,lungo,2026-07-01 09:07:42,38.4,89.9
1,lungo,2026-07-01 09:19:03,34.4,93.0
1,lungo,2026-07-01 09:24:04,44.3,92.9
1,espresso,2026-07-01 09:43:26,27.9,91.0
1,cappuccino,2026-07-01 09:49:16,41.8,90.7
1,lungo,2026-07-01 09:54:51,44.5,89.6
1,espresso,2026-07-01 10:12:31,29.4,90.8
1,espresso,2026-07-01 10:16:53,24.5,93.5
1,cappuccino,2026-07-01 10:25:52,41.9,90.2
1,espresso,2026-07-01 10:26:58,28.6,90.1
1,latte,2026-07-01 10:28:13,46.7,85.2
1,espresso,2026-07-01 10:28:39,27.0,90.3
1,espresso,2026-07-01 10:30:58,30.1,90.4
1,espresso,2026-07-01 10:39:31,30.0,93.1
1,lungo,2026-07-01 10:40:51,35.0,92.8
1,cappuccino,2026-07-01 11:04:17,53.4,87.7
1,latte,2026-07-01 12:01:18,54.0,89.2
1,latte,2026-07-01 12:18:30,46.2,88.5
1,lungo,2026-07-01 12:55:40,36.6,91.7
1,latte,2026-07-01 13:10:21,60.4,87.7
1,cappuccino,2026-07-01 13:17:28,44.4,86.9
1,cappuccino,2026-07-01 13:45:15,54.8,88.5
1,espresso,2026-07-01 13:46:03,31.1,92.2
1,espresso,2026-07-01 13:54:56,30.0,91.1
1,americano,2026-07-01 13:56:18,34.3,92.6
1,espresso,2026-07-01 13:57:24,27.6,90.5
1,hot_water,2026-07-01 14:10:40,10.5,95.3
1,americano,2026-07-01 14:20:21,38.3,89.2
1,cappuccino,2026-07-01 14:34:20,49.9,86.3
1,cappuccino,2026-07-01 14:37:19,48.3,86.1
1,americano,2026-07-01 15:49:08,33.6,91.2
1,lungo,2026-07-01 16:41:00,38.7,89.8
1,espresso,2026-07-01 16:46:26,30.7,90.5
1,espresso,2026-07-02 06:44:04,28.6,91.1
1,espresso,2026-07-02 06:46:44,26.9,93.6
1,espresso,2026-07-02 06:46:47,26.2,92.7
1,espresso,2026-07-02 06:47:44,27.4,90.2
1,lungo,2026-07-02 07:33:52,41.0,90.2
1,espresso,2026-07-02 07:34:12,26.5,93.4
1,espresso,2026-07-02 08:00:36,25.9,91.8
1,lungo,2026-07-02 08:14:51,40.9,89.9
1,espresso,2026-07-02 08:15:28,30.6,92.8
1,cappuccino,2026-07-02 08:21:06,54.2,89.0
