machine_id,type,timestamp,note,error_code
4,refill,2026-05-01 07:15:00,beans,
2,refill,2026-05-02 16:15:00,"beans, wiped tray",
1,refill,2026-05-03 07:30:00,water tank,
4,refill,2026-05-04 16:45:00,beans + water,
2,refill,2026-05-05 16:15:00,water tank,
1,refill,2026-05-05 16:30:00,beans,
4,refill,2026-05-07 07:15:00,beans + water,
1,refill,2026-05-07 07:30:00,beans,
2,refill,2026-05-08 07:15:00,"beans, wiped tray",
4,refill,2026-05-09 07:45:00,water tank,
2,error,2026-05-11 12:20:00,water tank empty mid-brew,E02
1,refill,2026-05-11 16:45:00,beans + water,
2,refill,2026-05-12 07:30:00,"beans, wiped tray",
4,refill,2026-05-13 07:45:00,beans,
4,error,2026-05-14 07:13:00,pump pressure low,E13
2,refill,2026-05-14 07:15:00,"beans, wiped tray",
1,refill,2026-05-15 07:30:00,water tank,
4,error,2026-05-15 11:23:00,pump pressure low,E13
4,refill,2026-05-16 07:30:00,beans + water,
2,refill,2026-05-16 16:30:00,"beans, wiped tray",
1,refill,2026-05-17 07:30:00,beans,
4,error,2026-05-18 15:06:00,pump pressure low,E13
4,refill,2026-05-18 16:15:00,water tank,
2,refill,2026-05-20 07:15:00,"beans, wiped tray",
4,refill,2026-05-20 07:45:00,beans + water,
1,refill,2026-05-20 16:45:00,beans,
1,refill,2026-05-22 07:30:00,"beans, wiped tray",
2,refill,2026-05-22 16:30:00,"beans, wiped tray",
1,refill,2026-05-24 16:30:00,beans,
4,refill,2026-05-24 16:30:00,beans,
4,error,2026-05-25 14:22:00,water flow sensor,E07
2,refill,2026-05-25 16:45:00,"beans, wiped tray",
4,refill,2026-05-27 07:15:00,"beans, wiped tray",
1,refill,2026-05-28 16:30:00,"beans, wiped tray",
2,refill,2026-05-29 16:15:00,beans,
3,descale,2026-05-30 10:00:00,"vendor visit, old girl still going",
1,refill,2026-05-31 07:15:00,water tank,
4,refill,2026-05-31 07:45:00,water tank,
2,refill,2026-05-31 16:45:00,water tank,
